"分数","分档人数(1分档)","累计人数(>=","累计人数(<=","累计百分比(>="
0,242,9553,242,1
1,0,9311,242,0.974667643672145
2,0,9311,242,0.974667643672145
3,0,9311,242,0.974667643672145
4,11,9311,253,0.974667643672145
5,26,9300,279,0.97351617292997
6,0,9274,279,0.970794514812101
7,0,9274,279,0.970794514812101
8,10,9274,289,0.970794514812101
9,2,9264,291,0.969747723228305
10,28,9262,319,0.969538364911546
11,0,9234,319,0.966607348476918
12,10,9234,329,0.966607348476918
13,1,9224,330,0.965560556893123
14,1,9223,331,0.965455877734743
15,61,9222,392,0.965351198576363
16,1,9161,393,0.95896576991521
17,0,9160,393,0.95886109075683
18,1,9160,394,0.95886109075683
19,1,9159,395,0.958756411598451
20,71,9158,466,0.958651732440071
21,0,9087,466,0.951219512195122
22,1,9087,467,0.951219512195122
23,4,9086,471,0.951114833036742
24,12,9082,483,0.950696116403224
25,67,9070,550,0.949439966502669
26,0,9003,550,0.942426462891238
27,2,9003,552,0.942426462891238
28,8,9001,560,0.942217104574479
29,8,8993,568,0.941379671307443
30,40,8985,608,0.940542238040406
31,1,8945,609,0.936355071705223
32,1,8944,610,0.936250392546844
33,4,8943,614,0.936145713388464
34,5,8939,619,0.935726996754946
35,37,8934,656,0.935203600963048
36,2,8897,658,0.931330472103004
37,4,8895,662,0.931121113786245
38,4,8891,666,0.930702397152727
39,2,8887,668,0.930283680519209
40,49,8885,717,0.930074322202449
41,2,8836,719,0.924945043441851
42,2,8834,721,0.924735685125092
43,3,8832,724,0.924526326808332
44,2,8829,726,0.924212289333194
45,40,8827,766,0.924002931016435
46,6,8787,772,0.919815764681252
47,4,8781,776,0.919187689730975
48,7,8777,783,0.918768973097456
49,5,8770,788,0.918036218988799
50,85,8765,873,0.917512823196902
51,0,8680,873,0.908615094734638
52,6,8680,879,0.908615094734638
53,7,8674,886,0.907987019784361
54,5,8667,891,0.907254265675704
55,104,8662,995,0.906730869883806
56,4,8558,999,0.895844237412331
57,10,8554,1009,0.895425520778813
58,9,8544,1018,0.894378729195017
59,11,8535,1029,0.893436616769601
60,118,8524,1147,0.892285146027426
61,2,8406,1149,0.879933005338637
62,2,8404,1151,0.879723647021878
63,12,8402,1163,0.879514288705119
64,15,8390,1178,0.878258138804564
65,249,8375,1427,0.87668795142887
66,2,8126,1429,0.850622840992358
67,2,8124,1431,0.850413482675599
68,16,8122,1447,0.85020412435884
69,27,8106,1474,0.848529257824767
70,275,8079,1749,0.845702920548519
71,1,7804,1750,0.816916151994138
72,4,7803,1754,0.816811472835758
73,22,7799,1776,0.81639275620224
74,35,7777,1811,0.81408981471789
75,184,7742,1995,0.810426044174605
76,4,7558,1999,0.791165079032765
77,15,7554,2014,0.790746362399246
78,51,7539,2065,0.789176175023553
79,30,7488,2095,0.783837537946195
80,192,7458,2287,0.780697163194808
81,12,7266,2299,0.760598764785931
82,25,7254,2324,0.759342614885376
83,57,7229,2381,0.756725635925887
84,38,7172,2419,0.750758923898252
85,250,7134,2669,0.746781115879828
86,15,6884,2684,0.720611326284937
87,21,6869,2705,0.719041138909243
88,43,6848,2748,0.716842876583272
89,63,6805,2811,0.712341672772951
90,299,6742,3110,0.705746885795038
91,13,6443,3123,0.674447817439548
92,22,6430,3145,0.673086988380613
93,54,6408,3199,0.670784046896263
94,96,6354,3295,0.665131372343766
95,314,6258,3609,0.655082173139328
96,16,5944,3625,0.622212917408144
97,28,5928,3653,0.620538050874071
98,96,5900,3749,0.617607034439443
99,119,5804,3868,0.607557835235005
100,604,5685,4472,0.595101015387836
101,15,5081,4487,0.531874803726578
